Title,Storyline
Dead Dead Demon's Dededede Destruction Koushou,"A huge spaceship materializing over Tokyo initiates a contentious war with seemingly harmless aliens. However, high school students Koyama and Nakagawa act unaffected, prioritizing their daily routines."
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"Tanjiro undergoes rigorous training with the Stone Hashira, Himejima, in his quest to become a Hashira. Meanwhile, Muzan continues to search for Nezuko and Ubuyashiki."
Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run."
Despierta tu alma,"A retired computer scientist shapes his own life into a film that fuses literature, visual art, electronic music and technology, guiding the audience on a journey of spiritual self-discovery."
Detective Conan vs. Kid the Phantom Thief,"High school student Kuroha Kaido discovers his late father's secret life as the Phantom Thief Kid, inherits his costume, and embarks on a quest to uncover the mysterious organization behind his father's murder."
Detective Conan: The Million-Dollar Pentagram,"The ""truth"" hidden in the sword cuts through the dark night and leads us under the moon. Love and incidents unfold in turbulent ways. ? The treasure battle mystery that will divide the world has begun."
"Die Heinzels: Neue Mützen, Neue Mission","Elfie's world is turned upside down when she discovers the existence of a technically advanced Elfkin gang that, in stark contrast to Elfie's own clan, is second to none when it comes to fun and thrill-seeking. Can Helvi's friendship with Bo, the youngest gang member, reconcile the two Elfkin clans after more than 250 years? Based on the feature film ""The Elfkins - Baking a Difference"" and inspired by the famous German saga and poem by August Kopisch."
Diego of the Dead 2,"It's The Day Of The Dead and Diego, the cutest skeleton in the underworld launches a comedy contest just in time for the Dia De Muertos festivities. Join us for an underworld adventure like no other, it's Diego Of The Dead 2."
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,"On a winter's day, Dikkie Dik and Poes Muis discover something new: snow! But there is also a new neighbour; a big, noisy dog called Blaf. Brr, the cats don't like that!"
Dikkie Dik en de Verdwenen Knuffel,"In 'Tummy Tom and the Lost Teddy Bear' Tummy Tom discovers something shocking: Bear, his favorite cuddle toy, is missing and nowhere to be found. Luckily, his friend Cat Mouse is there to help, because Tummy Tom can't sleep without Bear. Many paws make light work, so they set off to find him and they have many exciting adventures on the way. An ordinary bed becomes a real trampoline, and outside you can walk along the washing line like a proper acrobat. Together they discover new places, like the meadow and the beach, and they come across other animals they have never met before. After a day full of fun and adventures, everything turns out alright in the end. They have not just found Bear, but they have also found lots of new friends along the way."
Dinonauts,"The Dinonauts unite to defend the universe from the forces of tyranny, to befriend sentient protoplasms, and to find the perfect banana smoothie."
Dinosaur Empire,"After their parents die, a pack of young dinosaurs must survive to retake their territory in a rapidly changing world."
Diplodocus,"The titular dinosaur goes on an adventure to save his parents who have disappeared under mysterious circumstances. Alongside a wizard and two quirky scientists, he encounters fantastical creatures and amazing places along the way."
Dirt,N/A
Dongeng Sang Kancil,"A mouse-deer, Sang Kancil, small in figure but cunning and wise. With his intelligence, Sang Kancil often escapes dangers and sometimes helps other animals that are in trouble with bigger and more fierce animals."
Doraemon the Movie: Nobita's Earth Symphony,"Doraemon and friends go on an adventure to meet new buddies, connect to people with music, and save the world from a crisis."
Double Tuckerr,"Aravind has been gifted with two angels in his life ever since his birth. However, his life dramatically changes forever when one of the angels commits an error that accidentally costs him his life, resulting in his untimely demise."
Dragon Ball Z Kai,"Son Goku and his friends must fight against Raditz, a space warrior who arrives planet Earth to conquer it and destroy human race."
Dragonkeeper,"The fate of ancient China rests on the shoulders of one young girl, who must find the last remaining dragon egg and fulfill her destiny."
DreadClub: Vampire's Verdict,"Betty Gray, a college student obsessed with gothic romances, finds herself living one when she falls for Duchamps De Ve--a man on trial for being a vampire."
Dream Catchers,"The series follows Star and TV, whose job it is to help people in their dreams."
Dreamscape Vibes: Christmas Ambiance,N/A
Dreamscape Vibes: Halloween Dance Party,"Add some monstrous fun to your kiddo's Halloween celebration. Dive into a world of creepy jack-o-lanterns, groovy skeletons, and a fun parade of Halloween monsters."
Eiga Oshiri Tantei Saraba Itoshiki Aibô (Oshiri) yo,N/A
Eiga Shimajiro Miracle-jima no Nanairo Carnation,N/A
Ekip: Siberay - Günes Firtinasi,N/A
Elif ve Arkadaslari 2: Perisler,N/A
Elli and Her Monster Team,All Elli wanted was a family to love. But finding one turns out to be a ghostly affair.
Emma's Big Adventure,"A miniature girl raised by animal parents journeys to an island of tiny humans, uncovering unsettling revelations about her origins."
Era un soñador,"A sad princess, imprisoned by the king in a tower, manages to escape and on her journey through the kingdom she meets a shepherd who has a curious theory about dreams."
Exorcism Chronicles: The Beginning,"An excommunicated priest helps his monk friend protect a powerful boy from an evil master, forcing him to confront his past."
FAMU detem,N/A
Fairytale Fun Force Storytime: Happy Jack,"Join Snow White and the Fairytale Fun Force as they gather around the fire to tell bedtime stories. This time, the magical friends read a classic fairytale about Happy Jack."
Family album,"Family album story of one family picture about Cat. Cat is complex personality, he look for comfort and very communicable. Cat ginger cat you can see anywhere. Cat run in trouble after one little story with neighbors cat's."
Fat Chance! the Movie,"Follow a young Bernard Papadopoulos as he travels to a clinic in Tokyo to partake in one of the Underworld's best weight loss programs. While there, his newly found sweetheart, Shigeko, is kidnapped by a mysterious corporation."
Fishtales: The Christmas Whale,Celebrate Fishmas with the sea creatures of fish tale reef. Join Fifi and Lily as they celebrate their favorite holiday and learn more about love and friendship. It's time for The Christmas Whale.
Five Nights at TK's: The Curse of TK,"Chris finally meets William TK, And thing gets worse everything has burned to the ground and turnt into dust and Nobody was around expect Chris And William TK."
Fleischer Cartoons: The Art & Inventions of Max Fleischer,"A celebration of art by legendary animator Max Fleischer. Features: Ko-Ko's Kozy Korner (1928) (1928), Somewhere in Dreamland (1935) (1936), Any Rags (1932) (1932), Small Fry (1939) (1939), Dinah (1933) (1933), The Old Man of the Mountain (1933) (1933), and Popeye the Sailor Meets Sindbad the Sailor (1936) (1936)."
Flow,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences."
Fox & Hare Save the Forest,"It centers on the adventures of Fox and Hare, best friends who are surrounded by a bunch who have become like family. One day, they find out that Owl has gone missing, and they embark on a journey to find him."
Frida,"A raw and magical journey into the life of iconic artist Frida Kahlo, told through her own words from diaries, letters, essays, and interviews. Vividly brought to life with lyrical animation inspired by her unforgettable artwork."
From Ground Zero,"From Ground Zero is a collection of 22 short films made in Gaza. Initiated by Palestinian director Rashid Masharawi, the project was born to give a voice to 22 Gazan filmmakers to tell the untold stories of the current war on film."
Frost: End of the Ashics,"The saga continues from Frost: War of the Ashics.... The Emperor of the Ashics escaped the hands of General Kaplet and continued to harvest aliens and change them into a head and a metal body. But the Fluffs from the planet Frost with the help of the Ancient Ashics wanted to put an end to their evil, once and for all."
Fureru,"Aki, Ryo, and Yuta, childhood friends who grew up on the same island, are 20 years old and start living together in Takadanobaba, Tokyo. Even though their living environments are different: they work part-time at a bar, work as salespeople at a real estate company, and are students at a vocational school for clothing designers, the three are always connected in their hearts. The reason is, the mysterious creatures brought from the island, Touch, have mysterious powers similar to telepathy that connect them with different hobbies and personalities. The friendship between the three should continue, but they discover another hidden power of touch.."
Fuuto PI: Portrait of Kamen Rider Skull,"When the monster Dopants, who use the power of the Gaia Memory, begin to operate in the windy city of Fuuto, the young Shotaro becomes an assistant to the detective Narumi Soukichi and spends his days chasing after him. Shotaro, who knows nothing about Soukichi, who secretly works as Kamen Rider Skull in addition to his detective work, becomes increasingly frustrated. One day, a new request comes into the Narumi Detective Agency, leading Shotaro and his team to a fateful night."
Ganbatte Ikimasshoi,N/A
Genjitsu no Yohane -Sunshine in the Mirror- Movie,N/A
Gg Bond: Interstellar Action,N/A
Ghost Cat Anzu,"Friendship shared between Karin, a strong-minded girl sent to live with her monk granddad in the Japanese countryside, and Anzu, the even-more unpredictable phantom feline who acts as her guardian."
Gift,Bright characters tell story about kids interaction when children playing. Day adventures bring you one magic busy day of Ember and Ari that hurry up to meet new friends that don't want let them go away. Classical 3D and 2d digital animation.
Gill,N/A
Gintama on Theater 2D: Kintama-hen,N/A
Gintama the Movie 2D: Courtesan of the Nation Arc,N/A
Given 3: To the Sea,"The final installment of the Given series, Given 3 takes place after the events of Hiiragi Mix and focuses on the continuing relationships between the core characters."
Given the Movie: Hiiragi Mix,Hiiragi Mix takes place after the events of the Eiga Given and is mainly focused on the relationship between Mafuyu's childhood friends Hiiragi Kashima and Shizusumi Yagi.
Glossbusters,N/A
God with Three Eyes,"After he was demoted and sent to the mortal world, Erlang Shen needs to open his third eye in order to subdue the thousand-year dragon that violated heaven's law and broke through the dragon gate. This is the only way he can return to heaven."
Golmaal Jr: Humshakals Ka Golmaal,"Gopal and Madhav find themselves stranded in the forest while participating in a school competition. Meanwhile, their impersonators devise a sinister scheme in their absence. What will Gopal and Madhav do now?"
Gracie and Pedro: Pets to the Rescue,A pampered show dog and a street-smart alley cat embark on a thrilling journey to find their family after being separated during a cross-country move.
